author,brief,cate,time,title,type_1,type_2
那一只蚊子, 苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园…… ,连载,2022-06-13 09:57,轮回乐园,轻小说,衍生同人
风凌天下, 一刀斩破生死路，寒刃屠尽负心人！……我不要做刀，我要做执刀人。我不要做棋子，我要成为弈棋者。一个平凡人。却偏要在这世界上活出自己。未知前路渺茫，不知前途何在；只是一步步走去，不知不觉，已是一路风云，别有天地。荆棘路，红尘遥；巧腾挪，步凌霄；平沧海，翻江湖；清碧落，掌天刀。 ,连载,2022-06-13 14:15,碧落天刀,玄幻,异世大陆
滚开, 这是一个现代人回到古代，回到一个完全没有任何超凡的真实世界，靠着将一切数据属性化的异能，慢慢崛起的故事。 ,连载,2022-06-13 17:00,我的属性修行人生,玄幻,东方玄幻
裴屠狗, 浩瀚的世界重新焕发生机，远去的神魔即将归来。持一口暴食之鼎，法学生杨狱穿越而来，于边陲小镇睁眼看这似是而非的世界。他看到无垠大地之上，古老的王朝濒临末路，烽火中龙蛇四起。他看到连年征战，民不聊生。千户之地，瞬息尽成白地，万乘之国，弹指化作云烟。他看到有童子挥舞红绫舞动四海。他看到猎户立于山巅，弯弓向天。他看到巨人立地顶天，咆哮间，山河皆碎。他看到九霄云中仙神盘踞，谈笑间，沧海桑田。杨狱沉默、迷惘、压抑，直至，发出惊天怒吼：“大丈夫生当五鼎食，死亦五鼎烹！”“我这一生，绝不碌碌！”…………已有老书《诸天投影》《大道纪》，喜欢的朋友可以去看看。 ,连载,2022-06-13 23:23,诸界第一因,玄幻,东方玄幻
九月酱, 一个来自未来的快递，让叶舟走上了科技强国之路。手握科技人生模拟器，从芯片、量子计算、人工智能，到反物质燃料、空间引擎……一个又一个的未来科技被他提取到现实中，以一己之力推动整个世界的科技进程。……【芯片之殇剧情模拟结束】【完成度100%】【奖励：芯片产业配套技术】【评价：不只是光刻机而已！】提取完奖励的叶舟如释重负。这一场牌局，我们已经打了数千年。而现在，是时候去掀翻他们的牌桌了！ ,连载,2022-06-13 10:05,大国科技,科幻,超级科技
怪诞的表哥, 终宋一朝都未收复燕云，终宋一朝皆被外敌欺侮……南宋将亡之际，那些终宋一朝都没能达成的伟业，他要做到。 ,连载,2022-06-13 17:53,终宋,历史,架空历史
情何以甚, （《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。——————枫林城：1044491349（普群）VIP验证群：327980714 ,连载,2022-06-13 12:00,赤心巡天,仙侠,古典仙侠
徍男, 【横推】【爆燃】【2020-2021武侠最火作品】内练一口九阳气，外练一身金刚骨，金背九环刀横扫四十丈银蓝刀气，气沉丹田左冲右突，降龙神掌轰炸全场。道心魔种......忘我唯我......葵花真劲......飞刀朔空......袈裟伏魔......天龙七式......如来神掌、战神破碎！尽在群英荟萃精彩热血的江湖！....大寨主江大力雄壮之极的身躯静坐在雕花梨木大椅上，虎皮大衣下满是鼓凸强健的肌肉，坚硬，霸道，浑身充满刚猛强横的力量感。他眼神冷峻从容，注视着周边两侧新招收的玩家。各种阿谀奉承之言，从这些韭菜口中不绝于耳传来。“大寨主威武神勇，刀枪不入铁掌无敌，求大寨主传授小的武艺！”“大寨主，敏感肌能练铁布衫吗？”“老弟，骚话少说，大寨主可是出了名的手狠心黑。”一名刚从城隍庙复活过来的玩家哭丧着脸，“像我，初听不知话中意，再听已是刀下魂。大寨主说一不二，每次提问再问第二遍就送人上路，我已经无FK可说。”总之，这就是个猛练肌肉提大刀的猛人闯荡江湖综武的那些事儿，无女主，霸道果决，铁打的大BOSS，流水的玩家.....【万均，高订七万，自上架后武侠霸榜第一长达一年多】 ,连载,2022-06-13 23:02,金刚不坏大寨主,武侠,武侠幻想
木工米青, 一觉醒来，周易成了天牢狱卒，幸得长生道果，却无护道之法！修仙界妖魔乱世，鬼怪横行，危险重重，周易决定先躲起来修炼几百几千几万年！风云变幻，时光流转。一百年前放走的孩子，成为大乾开国圣祖。一千年前指点的少年，当上仙宗太上长老。一万年前豢养的宠物，变成异域绝世妖王。这是一个长生不死的凡人，坐看沧海桑田，历经纪元更迭，最终成为长生仙尊的故事！ ,连载,2022-06-13 23:49,我在修仙界长生不死,仙侠,古典仙侠
狐尾的笔, 诡异的天道，异常的仙佛，是真？是假？陷入迷惘的李火旺无法分辨。可让他无法分辨的不仅仅只是这些。还有他自己，他病了，病的很重。 ,连载,2022-06-13 23:58,道诡异仙,玄幻,东方玄幻
阴天神隐, “我根本不关心这个世界的人活的怎么样，吃的饱不饱，能不能穿暖住好，有没有梦想希望。我不在乎他们的爱憎。”“只是如果想要前往高天之上，需要一个完整的高等工业体系，一整套相关研究所，最先进的材料学实验室和一个能统筹一切部门的大政府。它要无数衣食无忧的国民为此奉献财富，需要几百万个高等知识分子为此贡献自己的头脑，数万不同的配套厂家供应最好的零部件。”“总之，需要一个富足的世界，一个伟大的文明才能完成它。”——伊恩一个自废墟中重生的世界。一轮即将迎来终结的纪元。一群在大地上争权夺利，为财富与力量而战的囚徒。一位凝望高天的少年。囚徒们从命运的窗里向外看，大都凝视泥土。唯有一个仰望着星。 ,连载,2022-06-13 08:02,高天之上,奇幻,史诗奇幻
我吃西红柿, 融入宇宙文明后，家乡星球为了生存，步履蹒跚地在文明之路上前行。而星球上无数人类，也开始了进化之路…… ,连载,2022-06-13 19:48,宇宙职业选手,科幻,未来世界
随轻风去, 南京城里，秦淮河畔，卑微少年站在历史的路口，贫穷人生从遇到富婆开始。大明的韭菜们并没有资格自称学生，那只好先当小学生了。 ,连载,2022-06-13 15:35,大明小学生,历史,两宋元明
苍山月, 一个伤痕累累的中年灵魂倒退回时光里，拥抱98年的斑驳阳光。蓦然发现，原来那时少年正好，岁月飘香。原来犯错才叫成长，青春可以如此飞扬... ,连载,2022-06-13 21:39,重生之似水流年,都市,都市生活
酒剑仙人, 本书又名：我就是喜欢较真！买了很久的原魔账号突然被找回，反手充值一百万，不为其他，就想让找回人进去公司因为请病假突然辞退，而且是口头通知，还很嚣张说没有合同，有本事你去告双喜临门，直接一裁两诉走起，双倍工资太香了快递不给送上门而且还口出狂言，一路按照程序投诉到底此外，熊孩子划车，遛狗不牵绳，停车堵车……诸如此类…………来都来了，他还是个孩子，人和狗较什么劲，你怎么这么事多……当很多人都抱着得过且过的思想后，这个社会需要一些认真的人！ ,连载,2022-06-13 23:22,开局账号被盗，反手充值一百万,都市,都市生活
